"","x"
"1","Missense_Mutation"
"2","Silent"
"3","Nonsense_Mutation"
"4","Frame_Shift_Del"
"5","In_Frame_Del"
"6","Frame_Shift_Ins"
"7","In_Frame_Ins"
"8","Translation_Start_Site"
"9","Nonstop_Mutation"
"10","missense_variant"
"11","splice_region_variant&intron_variant"
"12","synonymous_variant"
"13","stop_gained"
"14","splice_donor_variant&intron_variant"
"15","splice_donor_variant&splice_region_variant&intron_variant"
"16","5_prime_UTR_premature_start_codon_gain_variant"
"17","splice_acceptor_variant&intron_variant"
"18","missense_variant&splice_region_variant"
"19","splice_region_variant&synonymous_variant"
"20","disruptive_inframe_insertion"
"21","disruptive_inframe_deletion&splice_region_variant"
"22","disruptive_inframe_deletion"
"23","stop_gained&inframe_insertion"
"24","inframe_deletion"
"25","frameshift_variant"
"26","inframe_insertion"
"27","stop_retained_variant"
"28","stop_gained&splice_region_variant"
"29","stop_lost"
"30","splice_region_variant"
"31","start_lost"
"32","splice_donor_variant&disruptive_inframe_deletion&splice_region_variant&splice_region_variant&intron_variant"
"33","splice_donor_variant&inframe_deletion&splice_region_variant&splice_region_variant&intron_variant"
"34","initiator_codon_variant"
"35","frameshift_variant&splice_acceptor_variant&splice_region_variant&intron_variant"
"36","stop_lost&inframe_deletion"
"37","frameshift_variant&splice_acceptor_variant&splice_region_variant&splice_region_variant&intron_variant"
"38","frameshift_variant&splice_donor_variant&splice_region_variant&splice_region_variant&intron_variant"
"39","stop_gained&disruptive_inframe_deletion"
"40","frameshift_variant&start_lost"
"41","frameshift_variant&stop_gained"
"42","splice_donor_variant&splice_region_variant&3_prime_UTR_variant&intron_variant"
"43","inframe_insertion&splice_region_variant"
"44","stop_lost&splice_region_variant"
"45","frameshift_variant&splice_donor_variant&splice_region_variant&intron_variant"
"46","frameshift_variant&stop_lost"
"47","frameshift_variant&splice_region_variant"
"48","stop_gained&splice_acceptor_variant&inframe_deletion&splice_region_variant&splice_region_variant&intron_variant"
"49","start_lost&inframe_deletion"
"50","splice_acceptor_variant&disruptive_inframe_deletion&splice_region_variant&splice_region_variant&intron_variant"
"51","splice_acceptor_variant&inframe_deletion&splice_region_variant&splice_region_variant&intron_variant"
"52","5_prime_UTR_truncation&exon_loss_variant"
"53","nonsense_variant"
"54","splice_acceptor_variant&splice_region_variant&intron_variant"
"55","splice_donor_variant&disruptive_inframe_deletion&splice_region_variant&intron_variant"
"56","frameshift_variant&start_lost&splice_region_variant"
"57","splice_acceptor_variant&splice_region_variant&5_prime_UTR_variant&intron_variant"
"58","Missense"
"59","Synonymous"
"60","Nonsense"
"61","Read-through"
"62","In_frame_Ins"
"63","De_novo_Start_OutOfFrame"
"64","In_frame_Del"
"65","De_novo_Start_InFrame"
"66","Frameshift"
"67","Coding silent"
"68","Nonsynonymous"
"69","De novo start out of frame variant"
"70","Frameshift deletion"
"71","Frameshift insertion"
"72","In-frame deletion"
"73","Intronic variant"
"74","Unknown"
"75","Stop gain"
"76","Splice site"
"77","Nonframeshit insertion"
"78","Stop loss"
"79","Nonstop variant"
"80","Nonframeshift deletion"
"81","De novo start in frame variant"
"82","RNA variant"
"83","In-frame insertion"
"84","5 prime flank"
"85","3 prime UTR variant"
"86","5 prime UTR variant"
"87","Stopgain SNV"
"88","Compound substitution"
"89","Stoploss SNV"
"90","Translation start site"
"91","In_Frame_Del;In_Frame_Del"
"92","Missense_Mutation;Missense_Mutation"
"93","Silent;Silent"
"94","Nonsense_Mutation;Nonsense_Mutation"
"95","RNA"
"96","Stop_Codon_Ins"
"97","Start_Codon_Del"
"98","Start_Codon_Ins"
"99","Stop_Codon_Del"
